x,truedata,truelower,trueupper,diff,max,entropy ,entropy attention
-105,3.25093517593517,3.15033,3.35154,3.15433425935175,3.23160581751581,2.77344513458763,3.03048013125763
-104,3.25393772893772,3.15072,3.35715,3.13251861111111,3.2131213095238,2.75925401404151,3.00841139499389
-103,3.18864468864468,3.09762,3.27967,3.08646807387057,3.17154344322344,2.73148862942612,2.96670693833943
-102,3.20723443223443,3.1205,3.29397,3.06557796092796,3.15311372710622,2.71808055860805,2.94880846459096
-101,3.21245421245421,3.12423,3.30068,3.05018535103785,3.13954282051282,2.71027272893772,2.93339505799755
-100,3.15796703296703,3.07888,3.23705,3.01173657509157,3.10533963369963,2.68542245421245,2.89551209706959
-99,3.13818681318681,3.05704,3.21933,2.98304992673992,3.0795189010989,2.6680069047619,2.86918858058608
-98,3.13177655677655,3.04907,3.21449,2.95992236263736,3.0588171062271,2.65435139194139,2.84914114468864
-97,3.078663003663,2.99196,3.16537,2.91663262820512,3.01960146520146,2.6324990018315,2.80906187728937
-96,3.07005494505494,2.97864,3.16147,2.89918055860805,3.00393939560439,2.62277858974358,2.79194354395604
-95,3.04029304029303,2.94758,3.133,2.8842156043956,2.99032187728937,2.61579382783882,2.77658523809523
-94,3.04084249084249,2.93901,3.14267,2.86720857142857,2.9746670054945,2.6070732051282,2.76035384615384
-93,2.98186813186813,2.88755,3.07619,2.82454951159951,2.93671809523809,2.58655017094017,2.7179879059829
-92,2.9562271062271,2.84345,3.069,2.80481322954822,2.91787565934065,2.57501606837606,2.70012047008547
-91,2.87313797313797,2.75171,2.99456,2.74593008241758,2.86398054334554,2.54806745726495,2.64548525030525
-90,2.79706959706959,2.64411,2.95003,2.70336944139194,2.82504295787545,2.52827628205128,2.60636747252747
-89,2.71452991452991,2.58651,2.84255,2.62140299145299,2.75064474358974,2.49380852564102,2.52641557692307
-88,2.68006993006993,2.56515,2.79499,2.55860899184149,2.69329641025641,2.46787079254079,2.4738636072261
-87,2.60650183150183,2.49596,2.71704,2.50257335164835,2.64328584859584,2.4470483089133,2.42090567460317
-86,2.53278388278388,2.44169,2.62388,2.41022008241758,2.55925707875457,2.40566628205128,2.33579428571428
-85,2.49830169830169,2.39558,2.60102,2.32853826423576,2.48422053779553,2.37420664002663,2.25659647102897
-84,2.5335581085581,2.43839,2.62873,2.30672223859473,2.46285226856476,2.36648035797535,2.23417243256743
-83,2.48952991452991,2.38488,2.59418,2.2687917094017,2.42667089743589,2.35165273504273,2.19885429487179
-82,2.45119047619047,2.3469,2.55548,2.25591167277167,2.41547319291819,2.3459596092796,2.18666002136752
-81,2.3844017094017,2.26556,2.50325,2.21565585470085,2.37741901709401,2.33380901709401,2.147234508547
-80,2.34850427350427,2.22998,2.46703,2.19584865384615,2.36021514957265,2.32557589743589,2.12828914529914
-79,2.34957264957264,2.22768,2.47146,2.16462068376068,2.33390525641025,2.31365534188034,2.10050132478632
-78,2.33956043956043,2.2099,2.46922,2.14252139194139,2.31127873626373,2.30774124542124,2.07943926739926
-77,2.32478632478632,2.19675,2.45283,2.10640395299145,2.27840237179487,2.29546061965811,2.04662316239316
-76,2.34749694749694,2.19894,2.49606,2.08520916666666,2.25732671855921,2.28683853174603,2.02596461538461
-75,2.34110334110334,2.19601,2.4862,2.06977314879564,2.2431362024087,2.2814408022533,2.01172142385392
-74,2.36418026418026,2.22242,2.50595,2.05978195998446,2.2337058061383,2.27934632672882,2.0011438014763
-73,2.28811188811188,2.16579,2.41043,2.02605981102231,2.20032483849483,2.26604594821844,1.96894466533466
-72,2.208991008991,2.09806,2.31993,1.99853777805527,2.17188679514929,2.25271857947607,1.94417667998668
-71,2.19003496503496,2.07741,2.30266,1.97122178599178,2.14085877927627,2.24349937007437,1.91865696692196
-70,2.17735042735042,2.0669,2.2878,1.95586105006105,2.12546391663891,2.23805817793317,1.90586573426573
-69,2.1813048063048,2.06863,2.29398,1.93855921578421,2.10808644105894,2.23152339327339,1.88781292235542
-68,2.17124542124542,2.05313,2.28936,1.91510655677655,2.0835484065934,2.22395546398046,1.86739882783882
-67,2.19267399267399,2.07226,2.31309,1.89900306166056,2.06537543956043,2.2180115079365,1.8519288003663
