participant_id,trial_number,distribution_type,first_option,second_option,chosen_type,ball_weight,action_selection_conf,success_prediction_conf,balls_in_box,trial_success,trial_reward,cumulative_reward,action_conf_selection_time,action_conf_confirmation_time,prediction_conf_selection_time,prediction_conf_confirmation_time
217,72,narrow_low,narrow_high,narrow_low,narrow_low,0.2212924716382656,5.0,5.0,1.0,True,10.0,604.0,1.815999984741211,2.699000120162964,2.582000255584717,2.8490002155303955
217,73,narrow_low,narrow_low,narrow_high,narrow_low,0.2071102087354149,3.0,5.0,1.0,True,10.0,614.0,2.133999824523926,2.3990001678466797,5.0329999923706055,5.365999937057495
217,74,wide_low,wide_low,narrow_low,wide_low,0.1697671777140613,5.0,5.0,1.0,True,11.0,625.0,2.749000310897827,3.932000160217285,1.1000001430511477,1.25
217,75,narrow_high,narrow_high,wide_high,narrow_high,0.3303143250112578,5.0,5.0,0.0,False,0.0,625.0,1.682999849319458,2.0160000324249268,1.4819998741149902,1.7819998264312744
217,76,narrow_low,narrow_high,narrow_low,narrow_low,0.2026307081051458,6.0,5.0,1.0,True,10.0,635.0,2.7839999198913574,3.0,0.0190000534057617,0.0249998569488525
217,77,narrow_high,narrow_high,wide_low,narrow_high,0.3065342814270432,5.0,4.0,1.0,True,14.0,649.0,1.9659998416900637,2.3499999046325684,0.0199999809265136,0.0299997329711914
217,78,narrow_high,narrow_low,narrow_high,narrow_high,0.2761049250739926,5.0,5.0,1.0,True,14.0,663.0,1.9670000076293943,2.232999801635742,0.7669997215270996,0.9659998416900636
217,79,narrow_high,narrow_high,wide_high,narrow_high,0.2820645547525112,5.0,5.0,0.0,False,0.0,663.0,1.6659998893737793,1.8989999294281008,0.8179998397827148,1.25
217,80,wide_low,wide_low,narrow_high,wide_low,0.111679894168089,5.0,5.0,1.0,True,11.0,674.0,1.431999921798706,1.7149999141693115,0.0199999809265136,0.0259997844696044
217,81,narrow_high,wide_high,narrow_high,narrow_high,0.2976268492088591,5.0,5.0,1.0,True,14.0,688.0,5.0829997062683105,5.365999937057495,0.503000020980835,0.6500000953674316
217,82,narrow_high,wide_high,narrow_high,narrow_high,0.2803189915830721,5.0,5.0,1.0,True,14.0,702.0,3.2660000324249268,3.5820000171661377,1.3159997463226318,1.5169999599456787
217,84,narrow_low,narrow_high,narrow_low,narrow_low,0.2278654438106047,5.0,5.0,1.0,True,10.0,722.0,1.7009999752044678,2.049999952316284,1.299000263214111,1.631000280380249
217,85,wide_low,wide_low,narrow_low,wide_low,0.252915982203035,5.0,5.0,1.0,True,11.0,733.0,1.8500001430511477,2.0160000324249268,3.2160000801086426,3.383000135421753
217,86,wide_low,wide_low,wide_high,wide_low,0.2925421026229818,6.0,5.0,1.0,True,11.0,744.0,2.466999769210815,3.681999683380127,2.2319998741149902,2.499000072479248
217,87,wide_low,wide_low,narrow_low,wide_low,0.1953648498425512,5.0,5.0,0.0,False,0.0,744.0,1.7170000076293943,1.9660000801086424,0.4659998416900635,0.7830002307891846
217,88,narrow_high,narrow_low,narrow_high,narrow_high,0.3040354111318278,5.0,5.0,0.0,False,0.0,744.0,1.6159999370574951,2.1510000228881836,0.866999626159668,1.182999849319458
217,89,wide_low,wide_low,wide_high,wide_low,0.2373666371659917,6.0,5.0,1.0,True,11.0,755.0,2.199000120162964,2.515000104904175,0.2670001983642578,0.9650001525878906
217,90,narrow_low,narrow_low,wide_high,narrow_low,0.2021656901992908,5.0,5.0,1.0,True,10.0,765.0,3.315999984741211,3.5820000171661377,0.8830001354217529,1.0
217,91,wide_low,wide_low,wide_high,wide_low,0.2525267817526818,5.0,6.0,1.0,True,11.0,776.0,1.2160000801086426,1.433000087738037,1.001999855041504,1.3499999046325684
217,92,narrow_high,narrow_high,narrow_low,narrow_high,0.297235160757315,5.0,5.0,0.0,False,0.0,776.0,1.432999849319458,1.631999969482422,0.5849997997283936,1.0
217,93,narrow_high,narrow_high,wide_high,narrow_high,0.3086933464394775,6.0,5.0,1.0,True,14.0,790.0,1.5999999046325684,1.7829997539520264,0.1499998569488525,0.3499999046325683
217,94,narrow_low,narrow_low,wide_high,narrow_low,0.2560676737215779,6.0,5.0,1.0,True,10.0,800.0,1.4170002937316897,1.633000373840332,0.0230000019073486,0.0340001583099365
217,95,narrow_low,narrow_low,narrow_high,narrow_low,0.21373396224734,5.0,5.0,1.0,True,10.0,810.0,1.9000000953674316,2.699000120162964,0.815000057220459,1.4649999141693115
217,97,narrow_low,narrow_low,narrow_high,narrow_low,0.2506332668138605,2.0,2.0,1.0,True,10.0,834.0,2.0319998264312744,3.3980000019073486,2.9159996509552,3.8320000171661377
217,98,narrow_high,narrow_high,wide_high,narrow_high,0.3167701945159824,5.0,5.0,0.0,False,0.0,834.0,4.848999977111816,5.848999977111816,0.617999792098999,0.931999921798706
